WKT,POINT_ID
"POINT (2652001.14840615 1973999.19078789)","26521974"
"POINT (2655999.6553206 1964000.90034446)","26561964"
"POINT (2658000.29713378 1768000.58232429)","26581768"
"POINT (2658000.75753974 1792000.19148085)","26581792"
"POINT (2657999.53496881 1954001.13219986)","26581954"
"POINT (2660000.41693081 1783999.67444285)","26601784"
"POINT (2660000.07441198 1978000.27147372)","26601978"
"POINT (2662001.27636428 1974002.37065992)","26621974"
"POINT (2670000.45878845 1779999.0757613)","26701780"
"POINT (2670000.15056664 2013999.89140811)","26702014"
"POINT (2674000.95625888 1814000.8950251)","26741814"
"POINT (2674003.19292941 1964000.70185029)","26741964"
"POINT (2674000.32832907 1985999.94010253)","26741986"
"POINT (2675999.99513768 1767998.14454774)","26761768"
"POINT (2676000.4310483 1786000.53479698)","26761786"
"POINT (2675999.76416349 1804000.35171244)","26761804"
"POINT (2676000.70278267 1863999.20498924)","26761864"
"POINT (2676000.24889317 1997999.50859572)","26761998"
"POINT (2675999.4427265 2002001.52218586)","26762002"
"POINT (2678000.92606286 1815999.94703591)","26781816"
"POINT (2679999.33935347 2028000.18663479)","26802028"
"POINT (2682000.7003683 1845998.92710439)","26821846"
"POINT (2681999.3111892 1876000.22117171)","26821876"
"POINT (2683998.52639862 1758000.159233)","26841758"
"POINT (2683998.85219677 1764000.75947674)","26841764"
"POINT (2683999.88336461 1825999.65988997)","26841826"
"POINT (2684000.51108791 1836000.60204592)","26841836"
"POINT (2684000.61853074 1944000.10969373)","26841944"
"POINT (2683999.52533268 2027999.38028244)","26842028"
"POINT (2687998.64845563 1938000.40014872)","26881938"
"POINT (2687999.88327744 1988000.56892445)","26881988"
"POINT (2691999.97816609 1850000.62512343)","26921850"
"POINT (2691999.90232189 1873999.92891674)","26921874"
"POINT (2691999.9107517 1896000.73308448)","26921896"
"POINT (2693999.55868464 1804001.38552143)","26941804"
"POINT (2693998.76627406 1809999.48354812)","26941810"
"POINT (2693999.62707838 1984001.23949509)","26941984"
"POINT (2693999.67671257 2016001.75781916)","26942016"
"POINT (2695999.22779499 1833999.37848123)","26961834"
"POINT (2695998.71406867 1978001.16499132)","26961978"
"POINT (2696000.17798345 1996000.08313528)","26961996"
"POINT (2695999.18581702 2018000.14519439)","26962018"
"POINT (2700000.52385902 1846001.13669127)","27001846"
"POINT (2700000.6125625 1864000.01237001)","27001864"
"POINT (2700000.0665223 1881999.49363877)","27001882"
"POINT (2700000.91447018 1894000.61282804)","27001894"
"POINT (2700000.20575403 1936000.16260979)","27001936"
"POINT (2699999.27088434 2038000.45428313)","27002038"
"POINT (2701999.11681267 1937999.27928617)","27021938"
"POINT (2702000.58690676 2016000.16846521)","27022016"
"POINT (2704000.56752426 1840001.15960323)","27041840"
"POINT (2703999.25209732 1876000.86913085)","27041876"
"POINT (2706000.80889464 1758000.35259816)","27061758"
"POINT (2706000.66873337 1887999.83612143)","27061888"
"POINT (2706000.4517136 1969999.49785521)","27061970"
"POINT (2705999.43455734 2032000.07165168)","27062032"
"POINT (2708000.71372397 1828001.2169497)","27081828"
"POINT (2707999.99935877 2061999.9971144)","27082062"
"POINT (2710002.698571 1759999.16056182)","27101760"
"POINT (2709999.62876057 1814000.23511454)","27101814"
"POINT (2709999.92299664 1891999.18168314)","27101892"
"POINT (2709999.77904299 1939999.28338933)","27101940"
"POINT (2709999.64691405 1964003.26259829)","27101964"
"POINT (2709999.99932087 2047999.99700215)","27102048"
"POINT (2711998.5001425 1756000.72722011)","27121756"
"POINT (2712000.16790031 1953999.48685736)","27121954"
"POINT (2712001.15652048 1989999.60917328)","27121990"
"POINT (2711999.40529132 2015999.67752233)","27122016"
"POINT (2714000.24556827 1833999.38434069)","27141834"
"POINT (2713999.56204525 1923999.64939055)","27141924"
"POINT (2716001.58004375 1812000.01817399)","27161812"
"POINT (2716001.41483681 1938000.45622613)","27161938"
"POINT (2715999.80291266 1956000.77421938)","27161956"
"POINT (2716001.06887707 2028000.36621176)","27162028"
"POINT (2717999.78254664 1845999.50332038)","27181846"
