X,Y,Point_ID,Coarse,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
-8.775251839,37.13910423,"26581768",,,,,6.90,7.24,18.14,24.60,"34",24.30,2.90,245.60,E20,U111,PT,PT1,PT15,PT150,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.833727843,37.34974664,"26581792",,,,,5.40,5.81,14.81,21.90,"0",3.40,2.30,150.00,D20,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland without tree cover,Abandoned areas
-9.24209186,38.768531158,"26581954",,,,,7.00,7.29,28.10,18.40,"46",56.50,2.10,505.20,E30,U112,PT,PT1,PT17,PT170,Grassland,Spontaneously re-vegetated surfaces,Fallow land
-8.792255364,37.283971934,"26601784",,,,,4.40,5.17,5.37,48.00,"0",5.60,3.30,103.80,D10,U120,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Forestry
-9.282250124,38.982827458,"26601978",,,,,7.10,7.38,21.60,25.20,"0",7.20,2.10,174.60,C10,U120,PT,PT1,PT17,PT170,Woodland,Broadleaved woodland,Forestry
-8.672907268,37.270907106,"26701780",,,,,4.40,5.06,6.69,16.40,"0",0.00,1.90,74.40,D10,U120,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Forestry
-9.264401983,39.320080605,"26702014",,,,,5.50,5.92,6.08,14.20,"0",9.40,1.10,126.80,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
-8.711708338,37.578160038,"26741814",,,,,4.90,5.64,6.85,16.80,"0",28.10,1.70,103.80,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-9.145973845,39.08451978,"26741986",,,,,7.40,7.95,20.80,8.20,"285",14.00,1.10,240.20,B82,U111,PT,PT1,PT16,PT16B,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
-8.578214406,37.17866631,"26761768",,,,,7.10,7.56,18.84,38.90,"70",49.20,3.80,645.20,E10,U111,PT,PT1,PT15,PT150,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.621613437,37.336764358,"26761786",,,,,4.30,4.93,4.38,26.30,"0",4.20,2.00,80.40,B75,U111,PT,PT1,PT15,PT150,Cropland,Other fruit trees and berries,Agriculture (excluding fallow land and kitchen gardens)
-8.66529655,37.49479743,"26761804",,,,,4.80,5.49,7.84,18.70,"2",5.30,1.40,49.50,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.812989762,38.021105409,"26761864",,,,,4.30,5.25,3.88,6.30,"0",0.00,0.40,56.60,C22,U120,PT,PT1,PT18,PT181,Woodland,Pine dominated coniferous woodland,Forestry
-9.154804085,39.19392373,"26761998",,,,,4.10,4.65,4.11,14.40,"0",0.00,0.60,27.70,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
-9.16526974,39.228877961,"26762002",,,,,6.40,6.66,3.86,3.40,"1",8.60,0.40,88.20,B72,U111,PT,PT1,PT16,PT16B,Cropland,Pear fruit,Agriculture (excluding fallow land and kitchen gardens)
-8.67255033,37.604518427,"26781816",,,,,4.10,5.27,4.54,25.90,"0",0.00,2.20,86.90,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-9.188492044,39.465089868,"26802028",,,,,6.10,6.53,4.46,4.70,"0",6.10,0.40,26.60,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
-8.702020387,37.876537866,"26821846",,,,,4.80,5.37,8.20,19.40,"0",9.80,2.40,75.70,E10,U111,PT,PT1,PT18,PT181,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.466693493,37.108231802,"26841758",,,,,7.30,7.75,21.50,37.30,"11",6.70,1.20,176.30,F40,U112,PT,PT1,PT15,PT150,Bareland,Other bare soil,Fallow land
-8.481015615,37.160965821,"26841764",,,,,7.40,7.56,24.90,50.00,"148",12.40,3.90,736.90,B84,U111,PT,PT1,PT15,PT150,Cropland,Permanent industrial crops,Agriculture (excluding fallow land and kitchen gardens)
-8.630849544,37.70546324,"26841826",,,,,6.50,6.60,19.95,15.60,"9",11.70,1.70,79.30,F40,U111,PT,PT1,PT18,PT181,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens)
-8.655334168,37.793213593,"26841836",,,,,5.30,5.86,17.04,34.30,"0",13.10,3.70,139.70,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.925556639,38.739647657,"26841944",,,,,6.10,6.48,3.58,5.70,"0",31.20,0.60,24.30,E30,U112,PT,PT1,PT17,PT170,Grassland,Spontaneously re-vegetated surfaces,Fallow land
-8.865543872,38.696049506,"26881938",,,,,4.90,5.59,6.92,17.60,"0",9.60,1.40,92.80,C10,U120,PT,PT1,PT17,PT170,Woodland,Broadleaved woodland,Forestry
-8.601248224,37.933614562,"26921850",,,,,5.50,5.84,8.34,12.10,"0",7.20,1.20,59.40,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.660429092,38.144130838,"26921874",,,,,5.60,5.97,4.49,20.40,"0",5.00,1.70,167.50,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.715137176,38.337003771,"26921896",,,,,4.40,5.20,1.71,2.90,"0",0.00,0.20,13.60,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.4672418,37.534158789,"26941804",,,,,5.30,5.91,4.70,20.50,"0",4.10,2.00,196.70,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.481727657,37.586857221,"26941810",,,,,4.40,5.13,5.32,25.00,"0",4.10,2.20,101.70,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.998901767,39.391845359,"26942016",,,,,4.20,4.85,5.41,15.30,"0",5.00,1.10,37.30,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
-8.517892982,37.80194714,"26961834",,,,,5.10,5.62,3.82,13.70,"0",4.10,1.20,73.40,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.981530426,39.413820558,"26962018",,,,,5.30,5.73,14.89,33.60,"0",5.00,2.00,116.10,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
-8.502923022,37.91600888,"27001846",,,,,4.80,5.45,2.05,4.20,"0",4.10,0.40,22.00,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.547006763,38.07396855,"27001864",,,,,5.20,5.79,4.92,24.60,"0",5.00,1.90,93.90,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.591381992,38.231864294,"27001882",,,,,4.70,5.09,11.40,7.60,"0",42.10,0.70,34.70,B41,U111,PT,PT1,PT18,PT181,Cropland,Dry pulses,Agriculture (excluding fallow land and kitchen gardens)
-8.621128655,38.337092617,"27001894",,,,,4.60,5.36,1.92,2.90,"0",5.80,0.20,15.10,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.726281891,38.70516812,"27001936",,,,,6.10,6.42,4.16,6.40,"0",22.50,0.70,46.50,F40,U112,PT,PT1,PT17,PT170,Bareland,Other bare soil,Fallow land
-8.988560552,39.597617667,"27002038",,,,,6.70,7.05,13.80,9.20,"2",46.70,0.90,139.20,B72,U111,PT,PT1,PT16,PT16B,Cropland,Pear fruit,Agriculture (excluding fallow land and kitchen gardens)
-8.708951935,38.727108264,"27021938",,,,,3.60,4.28,3.19,9.40,"0",6.60,0.40,23.10,C10,U120,PT,PT1,PT17,PT170,Woodland,Broadleaved woodland,Forestry
-8.908556192,39.409777214,"27022016",,,,,5.20,5.89,7.00,18.90,"0",4.80,1.70,134.50,C10,U120,PT,PT1,PT18,PT185,Woodland,Broadleaved woodland,Forestry
-8.444053459,37.872048584,"27041840",,,,,4.30,5.11,2.89,4.70,"0",11.90,0.60,22.70,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.532129552,38.187994009,"27041876",,,,,4.50,5.41,2.17,7.10,"0",4.70,0.60,196.40,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.225788031,37.155735162,"27061758",,,,,7.60,8.01,18.62,3.90,"695",5.90,1.80,418.80,B74,U111,PT,PT1,PT15,PT150,Cropland,Nuts trees,Agriculture (excluding fallow land and kitchen gardens)
-8.539497845,38.297629974,"27061888",,,,,5.10,5.75,5.30,11.20,"0",5.30,0.90,72.10,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.745206354,39.016193394,"27061970",,,,,6.00,6.30,10.56,3.70,"0",58.40,0.50,45.90,B16,U111,PT,PT1,PT18,PT185,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
-8.370764946,37.775347764,"27081828",,,,,5.00,5.54,4.69,12.10,"0",5.50,1.40,43.00,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
-8.186661556,37.181901607,"27101760",,,,,7.50,7.92,16.20,14.40,"14",13.50,1.70,169.40,B81,U111,PT,PT1,PT15,PT150,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
-8.314985341,37.656678734,"27101814",,,,,5.20,5.74,4.14,12.80,"0",5.30,1.70,99.90,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
-8.504861164,38.341457346,"27101892",,,,,4.80,5.53,1.56,4.30,"0",0.00,0.30,13.30,C22,U120,PT,PT1,PT18,PT181,Woodland,Pine dominated coniferous woodland,Forestry
-8.624439327,38.762266764,"27101940",,,,,5.50,5.81,3.97,10.30,"0",17.00,1.00,59.70,F40,U112,PT,PT1,PT17,PT170,Bareland,Other bare soil,Fallow land
-8.685027762,38.972502206,"27101964",,,,,6.10,6.37,12.31,4.20,"0",33.90,0.50,60.80,B42,U111,PT,PT1,PT18,PT185,Cropland,Tomatoes,Agriculture (excluding fallow land and kitchen gardens)
-8.901391332,39.707437604,"27102048",,,,,4.80,5.54,2.87,3.50,"2",0.00,0.30,76.70,C10,U120,PT,PT1,PT16,PT16F,Woodland,Broadleaved woodland,Forestry
-8.155341858,37.150986806,"27121756",,,,,7.40,7.89,15.72,19.90,"744",54.10,2.10,104.60,B75,U111,PT,PT1,PT15,PT150,Cropland,Other fruit trees and berries,Agriculture (excluding fallow land and kitchen gardens)
-8.795564111,39.432074142,"27122016",,,,,7.00,7.23,21.80,18.70,"8",7.20,1.90,139.30,B81,U111,PT,PT1,PT18,PT185,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
-8.318924201,37.841024876,"27141834",,,,,5.00,5.47,5.19,8.30,"0",6.40,0.80,46.80,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.244007388,37.652026442,"27161812",,,,,6.20,6.52,15.90,15.90,"0",13.40,2.00,27.20,E10,U111,PT,PT1,PT18,PT184,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.781341154,39.545934421,"27162028",,,,,7.20,7.56,17.74,27.90,"357",7.30,3.10,393.70,B81,U111,PT,PT1,PT16,PT16F,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
-8.303628792,37.955064831,"27181846",,,,,5.30,5.72,5.35,5.90,"0",13.00,0.70,80.10,B81,U111,PT,PT1,PT18,PT181,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
-8.465129867,38.534330457,"27181912",,,,,6.00,6.11,9.11,20.80,"0",5.30,1.60,85.50,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
-8.707174304,39.375382757,"27182008",,,,,6.60,6.86,9.43,18.30,"2",4.20,1.90,229.80,E10,U111,PT,PT1,PT18,PT185,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.105164104,37.308840373,"27201772",,,,,6.40,6.57,18.13,22.30,"3",0.00,1.90,144.30,C10,U120,PT,PT1,PT15,PT150,Woodland,Broadleaved woodland,Forestry
-8.567653831,38.976993554,"27201962",,,,,4.20,4.96,3.84,13.50,"0",5.00,0.90,37.10,C32,U120,PT,PT1,PT18,PT185,Woodland,Pine dominated mixed woodland,Forestry
-8.679456518,39.362300162,"27202006",,,,,7.30,7.58,16.61,11.70,"338",20.70,1.90,156.50,B43,U111,PT,PT1,PT18,PT185,Cropland,Other fresh vegetables,Agriculture (excluding fallow land and kitchen gardens)
-8.772304319,39.67727075,"27202042",,,,,7.20,7.75,18.87,10.00,"389",13.50,1.30,154.20,E20,U111,PT,PT1,PT16,PT16F,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.031746353,37.119478361,"27221750",,,,,7.10,7.36,20.80,24.40,"551",6.40,1.50,237.40,D10,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Abandoned areas
